Lead ID,Business Name,Contact Name,Phone Number,Email,Industry,Qualification Status,Priority (Sheet),WhatsApp Ready,AI Business Type,AI Pain Points,AI Recommended Services,AI Priority Level,AI Confidence Score,Personalized WhatsApp Message,Message Status,Last Contact Date,Response Status
LEAD_001,Hotel Paradiso Cancún,María González,+52 998 123 4567,maria@hotelparadiso.com,Tourism,Hot Lead,High,Yes,hotel,"Sin sistema de reservas directas; Depende de terceros para ventas; No optimizado para búsquedas de hoteles en Cancún","website_design; seo_local; ecommerce",high,85,"Hola María González, soy Alex de JegoDigital. Analicé Hotel Paradiso Cancún en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas directas. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_002,Restaurante El Dorado,Carlos Mendoza,+52 998 234 5678,carlos@eldorado.com,Food & Beverage,Qualified,High,Yes,restaurante,"Sin sistema de reservas online; Menú no disponible digitalmente; No aparece en Google Maps cuando buscan restaurantes","website_design; seo_local; ecommerce",high,85,"Hola Carlos Mendoza, soy Alex de JegoDigital. Analicé Restaurante El Dorado en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_003,Spa Relax Cancún,Ana Rodríguez,+52 998 345 6789,ana@sparelax.com,Wellness,Hot Lead,High,Yes,spa,"Sin sistema de citas online; Falta presencia digital profesional; No optimizado para Google Maps de spas en Cancún","website_design; seo_local; ecommerce",high,85,"Hola Ana Rodríguez, soy Alex de JegoDigital. Analicé Spa Relax Cancún en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de citas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_004,Clínica Dental Sonrisa,Dr. Luis Pérez,+52 998 456 7890,lperez@clinicasonrisa.com,Healthcare,Qualified,Medium,Yes,salud,"Sin sistema de citas online; Falta confianza digital; No aparece en búsquedas de servicios médicos","website_design; seo_local; ecommerce",medium,75,"Hola Dr. Luis Pérez, soy Alex de JegoDigital. Analicé Clínica Dental Sonrisa en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de citas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_005,Boutique Moda Maya,Sofia Hernández,+52 998 567 8901,sofia@modamaya.com,Retail,Warm Lead,Medium,Yes,tienda,"Sin tienda online; Ventas limitadas a horario físico; No aparece en búsquedas locales de productos","ecommerce; seo_local; website_design",medium,75,"Hola Sofia Hernández, soy Alex de JegoDigital. Analicé Boutique Moda Maya en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin tienda online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Tienda Online (E-commerce) para que:
• Vende tus productos o servicios 24/7 sin límites geográficos
• Gestiona inventario y pedidos de forma eficiente
• Ofrece una experiencia de compra segura y moderna

Creamos tiendas online optimizadas para el mercado de Cancún, integrando métodos de pago locales y estrategias de envío.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_006,Gym Fitness Cancún,Miguel Torres,+52 998 678 9012,miguel@fitnesscancun.com,Fitness,Cold Lead,Low,No,gym,"Sin sistema de reservas online; Falta presencia digital profesional; No optimizado para Google Maps","website_design; seo_local; ecommerce",low,65,"Hola Miguel Torres, soy Alex de JegoDigital. Analicé Gym Fitness Cancún en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_007,Inmobiliaria Riviera Maya,Pedro Jiménez,+52 998 789 0123,pedro@rivieramaya.com,Real Estate,Qualified,Medium,Yes,inmobiliario,"Sin sistema de reservas online; Falta presencia digital profesional; No optimizado para Google Maps","website_design; seo_local; ecommerce",medium,75,"Hola Pedro Jiménez, soy Alex de JegoDigital. Analicé Inmobiliaria Riviera Maya en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_008,Bar La Cantina,Roberto Silva,+52 998 890 1234,roberto@lacantina.com,Food & Beverage,Warm Lead,Medium,Yes,restaurante,"Sin sistema de reservas online; Menú no disponible digitalmente; No aparece en Google Maps cuando buscan restaurantes","website_design; seo_local; ecommerce",medium,75,"Hola Roberto Silva, soy Alex de JegoDigital. Analicé Bar La Cantina en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_009,Clínica Veterinaria Paws,Dr. Carmen López,+52 998 901 2345,carmen@paws.com,Healthcare,Cold Lead,Low,No,salud,"Sin sistema de citas online; Falta confianza digital; No aparece en búsquedas de servicios médicos","website_design; seo_local; ecommerce",low,65,"Hola Dr. Carmen López, soy Alex de JegoDigital. Analicé Clínica Veterinaria Paws en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de citas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
LEAD_010,Taller Mecánico Rápido,José Martínez,+52 998 012 3456,jose@rapido.com,Automotive,Warm Lead,Medium,Yes,negocio,"Sin sistema de reservas online; Falta presencia digital profesional; No optimizado para Google Maps","website_design; seo_local; ecommerce",medium,75,"Hola José Martínez, soy Alex de JegoDigital. Analicé Taller Mecánico Rápido en Cancún y encontré oportunidades importantes para hacer crecer tu negocio.

He notado que sin sistema de reservas online. Esto puede estar costándote clientes y oportunidades de crecimiento en el mercado de Cancún.

Te puedo ayudar con Diseño Web Profesional para que:
• Aumenta tu credibilidad y profesionalismo online
• Genera más clientes a través de internet las 24 horas
• Funciona perfectamente en móviles y computadoras

Somos especialistas en crear sitios web impactantes para negocios en Cancún. Más de 50 proyectos exitosos y 95% de clientes satisfechos.

Esta es una oportunidad de oro para hacer crecer tu negocio. Cada día que pasa, pierdes clientes potenciales que buscan tus servicios online en Cancún.

¿Tienes 15 minutos para una consulta gratuita? Te muestro exactamente cómo podemos hacer crecer tus ventas de inmediato.

Responde ""SÍ"" y te contacto hoy mismo.

Saludos,
Alex Jego
JegoDigital - Marketing Digital Cancún
📱 www.jegodigital.com
📧 alex@jegodigital.com
📞 +52 998 202 3263",Ready for Outreach,,Pending
